n_active,sample_id,policy,throughput,rho,migrations,throughput_gain
2,0,Proposed,85.37873511127493,13.224803826699423,4,0.0
2,0,PdOracle,85.37873511127493,13.224803826699423,2,0.0
2,0,PerfOracle,85.37873511127493,11.881762116347582,0,0.0
2,0,HotCold,85.37873511127493,12.299156463890556,7,0.0
2,1,Proposed,112.34913617557923,23.387064386085914,3,0.0
2,1,PdOracle,112.34913617557923,24.300942162625702,4,0.0
2,1,PerfOracle,112.34913617557923,23.05226808570147,0,0.0
2,1,HotCold,112.34913617557923,23.180252198847796,3,0.0
2,2,Proposed,117.55231435832431,17.056666977020356,4,0.0
2,2,PdOracle,117.55231435832431,17.056666977020356,1,0.0
2,2,PerfOracle,117.55231435832431,15.610745568848417,0,0.0
2,2,HotCold,117.55231435832431,15.355154655562627,12,0.0
3,0,Proposed,168.52370426336884,24.78336172144744,4,0.0
3,0,PdOracle,168.52370426336884,25.51585056040288,6,0.0
3,0,PerfOracle,168.52370426336884,21.180489529537798,0,0.0
3,0,HotCold,168.52370426336884,24.78336172144744,4,0.0
3,1,Proposed,141.55330319906454,12.998742909558198,4,0.0
3,1,PdOracle,141.55330319906454,13.690500823464278,2,0.0
3,1,PerfOracle,141.55330319906454,12.289571869287549,0,0.0
3,1,HotCold,141.55330319906454,13.07500294891924,15,0.0
3,2,Proposed,168.52370426336884,24.783002100965582,5,0.0
3,2,PdOracle,168.52370426336884,25.864235993518093,5,0.0
3,2,PerfOracle,168.52370426336884,20.577318394982086,0,0.0
3,2,HotCold,168.52370426336884,24.656951853922077,3,0.0
4,0,Proposed,229.90145053390356,17.392373859976846,3,0.0
4,0,PdOracle,229.90145053390356,17.390266410274915,2,0.0
4,0,PerfOracle,229.90145053390356,16.033348438882804,0,0.0
4,0,HotCold,229.90145053390356,15.948846788425731,8,0.0
4,1,Proposed,170.75747022254987,15.418077705628615,5,0.0
4,1,PdOracle,170.75747022254987,15.253944074687434,2,0.0
4,1,PerfOracle,170.75747022254987,12.279874972987622,0,0.0
4,1,HotCold,170.75747022254987,14.0565210144579,9,0.0
4,2,Proposed,197.72787128685417,13.824199783127852,3,0.0
4,2,PdOracle,197.72787128685417,14.934214884721536,3,0.0
4,2,PerfOracle,197.72787128685417,12.769418320644661,0,0.0
4,2,HotCold,197.72787128685417,12.996880856846525,15,0.0
5,0,Proposed,184.35210269779995,17.42228338478442,6,0.0
5,0,PdOracle,184.35210269779995,17.35059455573262,4,0.0
5,0,PerfOracle,184.35210269779995,12.415028227441303,0,0.0
5,0,HotCold,184.35210269779995,13.465059888301846,11,0.0
5,1,Proposed,221.7288601275944,16.021217184768965,14,0.0
5,1,PdOracle,221.7288601275944,17.731557860711813,4,0.0
5,1,PerfOracle,221.7288601275944,12.239827618736202,0,0.0
5,1,HotCold,221.7288601275944,14.675682896421465,15,0.0
5,2,Proposed,253.9024393746438,15.025560733436468,4,0.0
5,2,PdOracle,253.9024393746438,15.025560733436468,4,0.0
5,2,PerfOracle,253.9024393746438,12.528019386693565,0,0.0
5,2,HotCold,253.9024393746438,13.625235283244677,15,0.0
6,0,Proposed,315.2801856451785,13.883680840548923,6,0.0
6,0,PdOracle,315.2801856451785,13.883680840548923,4,0.0
6,0,PerfOracle,315.2801856451785,12.273478216787288,0,0.0
6,0,HotCold,315.2801856451785,13.20273149429732,15,0.0
6,1,Proposed,213.55626972128525,16.283317444876026,8,0.0
6,1,PdOracle,213.55626972128525,16.746162857513788,3,0.0
6,1,PerfOracle,213.55626972128525,12.384888853588858,0,0.0
6,1,HotCold,213.55626972128525,17.046808739007282,15,0.0
6,2,Proposed,315.2801856451785,15.347809871229233,9,0.0
6,2,PdOracle,315.2801856451785,15.347809871229233,4,0.0
6,2,PerfOracle,315.2801856451785,11.989402883999846,0,0.0
6,2,HotCold,315.2801856451785,11.876788805236453,15,0.0
7,0,Proposed,376.6579319157132,14.15953711581628,4,0.0
7,0,PdOracle,376.6579319157132,14.013741531951522,3,0.0
7,0,PerfOracle,376.6579319157132,12.709574541340304,0,0.0
7,0,HotCold,376.6579319157132,14.059684135921886,15,0.0
7,1,Proposed,349.6875308514089,17.939819803696476,8,0.0
7,1,PdOracle,349.6875308514089,17.939819803696476,8,0.0
7,1,PerfOracle,349.6875308514089,12.377802057849323,0,0.0
7,1,HotCold,349.6875308514089,16.590448764629734,15,0.0
7,2,Proposed,339.28117448591877,17.30232428905291,14,0.0
7,2,PdOracle,339.28117448591877,17.84055816502738,5,0.0
7,2,PerfOracle,339.28117448591877,12.300638329290349,0,0.0
7,2,HotCold,339.28117448591877,17.099056168229126,15,0.0
8,0,Proposed,427.62932182075775,14.186621217694837,10,0.0
8,0,PdOracle,427.62932182075775,14.34320260785898,6,0.0
8,0,PerfOracle,427.62932182075775,12.442543574263148,0,0.0
8,0,HotCold,427.62932182075775,14.978494666639024,15,0.0
8,1,Proposed,395.4557425737084,17.105960514071196,8,0.0
8,1,PdOracle,395.4557425737084,16.243393694283945,4,0.0
8,1,PerfOracle,395.4557425737084,12.274821767354208,0,0.0
8,1,HotCold,395.4557425737084,14.312224624842628,15,0.0
8,2,Proposed,395.4557425737084,17.50993342523508,9,0.0
8,2,PdOracle,395.4557425737084,19.244966637413746,6,0.0
8,2,PerfOracle,395.4557425737084,12.371139683744982,0,0.0
8,2,HotCold,395.4557425737084,14.591830707236825,15,0.0
9,0,Proposed,494.2102462740375,14.15021077741343,7,0.0
9,0,PdOracle,494.2102462740375,14.64240280570739,5,0.0
9,0,PerfOracle,494.2102462740375,12.501426410537466,0,0.0
9,0,HotCold,494.2102462740375,14.205259476403617,15,0.0
9,1,Proposed,462.03666702698814,17.378175933109944,8,0.0
9,1,PdOracle,462.03666702698814,17.104949451100456,5,0.0
9,1,PerfOracle,462.03666702698814,12.259635535710421,0,0.0
9,1,HotCold,462.03666702698814,16.43882953270034,15,0.0
9,2,Proposed,424.65990959719375,18.448968744902587,15,0.0
9,2,PdOracle,424.65990959719375,18.448968744902587,10,0.0
9,2,PerfOracle,424.65990959719375,12.380857261747208,0,0.0
9,2,HotCold,424.65990959719375,13.500357427835642,15,0.0
10,0,Proposed,421.6904973736297,16.634495591384876,15,0.0
10,0,PdOracle,421.6904973736297,16.02808897972437,4,0.0
10,0,PerfOracle,421.6904973736297,12.421761066856948,0,0.0
10,0,HotCold,421.6904973736297,17.441433919553923,15,0.0
10,1,Proposed,518.2112351147778,18.53022041713894,9,0.0
10,1,PdOracle,518.2112351147778,17.034001868298812,4,0.0
10,1,PerfOracle,518.2112351147778,13.05676825016812,0,0.0
10,1,HotCold,518.2112351147778,16.9413857287097,15,0.0
10,2,Proposed,513.0080569320327,18.073402667819277,15,0.0
10,2,PdOracle,513.0080569320327,18.144220922519736,7,0.0
10,2,PerfOracle,513.0080569320327,11.994323459210618,0,0.0
10,2,HotCold,513.0080569320327,14.025600704774797,15,0.0
11,0,Proposed,547.4154021382631,18.375603289362463,8,0.0
11,0,PdOracle,547.4154021382631,18.480938950510563,8,0.0
11,0,PerfOracle,547.4154021382631,12.536261521639931,0,0.0
11,0,HotCold,547.4154021382631,15.278533042324637,15,0.0
11,1,Proposed,504.83546652572363,18.76908961261464,14,0.0
11,1,PdOracle,504.83546652572363,16.846674789480378,4,0.0
11,1,PerfOracle,504.83546652572363,15.128164151416767,0,0.0
11,1,HotCold,504.83546652572363,15.811731343666729,15,0.0
11,2,Proposed,467.4587090959292,17.863799605179633,7,0.0
11,2,PdOracle,467.4587090959292,18.474239112929492,7,0.0
11,2,PerfOracle,467.4587090959292,14.56327615293682,0,0.0
11,2,HotCold,467.4587090959292,17.039792283881823,15,0.0
12,0,Proposed,539.2428117319539,17.83644971315826,14,0.0
12,0,PdOracle,539.2428117319539,15.436338343691022,3,0.0
12,0,PerfOracle,539.2428117319539,13.132528199528831,0,0.0
12,0,HotCold,539.2428117319539,11.878121944577744,15,0.0
12,1,Proposed,630.5603712903568,18.429471962481994,10,0.0
12,1,PdOracle,630.5603712903568,18.429471962481994,15,0.0
12,1,PerfOracle,630.5603712903568,12.067610210147416,0,0.0
12,1,HotCold,630.5603712903568,15.342550709615574,15,0.0
12,2,Proposed,534.0396335492089,18.71251157256768,11,0.0
12,2,PdOracle,534.0396335492089,16.568360355679058,4,0.0
12,2,PerfOracle,534.0396335492089,13.161887687747043,0,0.0
12,2,HotCold,534.0396335492089,18.202897330570774,15,0.0
13,0,Proposed,525.8670431428998,17.944391022201252,13,0.0
13,0,PdOracle,525.8670431428998,18.455742655853104,15,0.0
13,0,PerfOracle,525.8670431428998,13.061078464544897,0,0.0
13,0,HotCold,525.8670431428998,13.410537867223177,15,0.0
13,1,Proposed,579.8078452715083,17.46487947470267,9,0.0
13,1,PdOracle,579.8078452715083,17.186476642056384,9,0.0
13,1,PerfOracle,579.8078452715083,12.80007475032433,0,0.0
13,1,HotCold,579.8078452715083,17.72894782422679,15,0.0
13,2,Proposed,617.1846027013027,19.470754262197875,9,0.0
13,2,PdOracle,617.1846027013027,19.165538960153416,8,0.0
13,2,PerfOracle,617.1846027013027,13.292635434475295,0,0.0
13,2,HotCold,617.1846027013027,12.96030526864504,15,0.0
14,0,Proposed,683.7655271545823,17.328599578569452,15,0.0
14,0,PdOracle,683.7655271545823,17.311988589066974,9,0.0
14,0,PerfOracle,683.7655271545823,14.36683842557256,0,0.0
14,0,HotCold,683.7655271545823,18.850161981182385,15,0.0
14,1,Proposed,641.1855915420429,17.950420105624445,15,0.0
14,1,PdOracle,641.1855915420429,17.97052774322654,9,0.0
14,1,PerfOracle,641.1855915420429,13.054178655901161,0,0.0
14,1,HotCold,641.1855915420429,18.508477313612268,15,0.0
14,2,Proposed,721.1422845843767,19.173822883981153,12,0.0
14,2,PdOracle,721.1422845843767,19.060263531382855,8,0.0
